FECHA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN_SITIO_ACCIDENTE,CANT_MUERTOS_EN_SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_NUMERICA(24h),ACCIDENTE_FATAL,HORA_NUMERICA,GRAVEDAD_ENC
2018-01-01,01:30:00,Con heridos,Atropello,CL 87 9H 24,1.0,0.0,1,2018,1,,1,0,1,0
2018-01-01,14:00:00,Solo daños,Choque,CL 110 CR 46,1.0,0.0,1,2018,1,,14,0,14,2
2018-01-01,04:00:00,Solo daños,Choque,AV CIRCUNVALAR CR 9G,1.0,0.0,1,2018,1,,4,0,4,2
2018-01-01,04:30:00,Solo daños,Choque,CLLE 72 CRA 29,1.0,0.0,1,2018,1,,4,0,4,2
2018-01-01,17:20:00,Solo daños,Choque,VIA 40 CALLE 75,1.0,0.0,1,2018,1,,17,0,17,2
2018-01-01,18:00:00,Con heridos,Choque,CR 8 CL 41,3.0,0.0,1,2018,1,,18,0,18,0
2018-01-01,00:50:00,Con heridos,Atropello,CLLE 119B CRA 11B,1.0,0.0,1,2018,1,,0,0,0,0
2018-01-02,14:30:00,Solo daños,Choque,CARRERA 25 37-42,1.0,0.0,1,2018,1,,14,0,14,2
2018-01-02,15:00:00,Solo daños,Choque,CR 51B 1D 35,1.0,0.0,1,2018,1,,15,0,15,2
2018-01-02,15:45:00,Solo daños,Choque,VIA 40  CLLE 85,1.0,0.0,1,2018,1,,15,0,15,2
2018-01-02,16:10:00,Solo daños,Choque,CL 19 CR 2C,1.0,0.0,1,2018,1,,16,0,16,2
2018-01-02,17:30:00,Solo daños,Choque,VIA 40 CL 77B,1.0,0.0,1,2018,1,,17,0,17,2
2018-01-02,17:45:00,Solo daños,Choque,CL 89 CON 75B,1.0,0.0,1,2018,1,,17,0,17,2
2018-01-02,19:00:00,Solo daños,Choque,CL 47 CR 38,1.0,0.0,1,2018,1,,19,0,19,2
2018-01-02,19:30:00,Solo daños,Choque,CLLE 96 CRA 64,1.0,0.0,1,2018,1,,19,0,19,2
2018-01-02,20:40:00,Con heridos,Choque,CIRCUNVALAR CR 9G,2.0,0.0,1,2018,1,,20,0,20,0
2018-01-02,09:00:00,Solo daños,Choque,CLLE 39 CRA 27,1.0,0.0,1,2018,1,,9,0,9,2
2018-01-02,23:00:00,Con heridos,Choque,CL 30 CR 30,1.0,0.0,1,2018,1,,23,0,23,0
2018-01-03,14:20:00,Solo daños,Choque,CL 110 CR 6Q,1.0,0.0,1,2018,1,,14,0,14,2
2018-01-03,15:15:00,Solo daños,Choque,CL 19 CR 5C,1.0,0.0,1,2018,1,,15,0,15,2
2018-01-03,15:40:00,Solo daños,Choque,AV CIRCUNVALAR CON AV CORDIALIDAD,1.0,0.0,1,2018,1,,15,0,15,2
2018-01-03,16:10:00,Solo daños,Choque,CL 19 CR 7D,1.0,0.0,1,2018,1,,16,0,16,2
2018-01-03,18:05:00,Solo daños,Choque,CR 7F NO 47 56,1.0,0.0,1,2018,1,,18,0,18,2
2018-01-03,08:10:00,Solo daños,Choque,DIAG 5 CR 8,1.0,0.0,1,2018,1,,8,0,8,2
2018-01-03,08:25:00,Con heridos,Atropello,CLLE 110 CRA 52,2.0,0.0,1,2018,1,,8,0,8,0
2018-01-03,20:30:00,Con heridos,Choque,CR 15 SUR 46 500,1.0,0.0,1,2018,1,,20,0,20,0
2018-01-03,22:05:00,Con heridos,Choque,CL 27B CR 20 B 44,1.0,0.0,1,2018,1,,22,0,22,0
2018-01-03,11:40:00,Solo daños,Choque,CR 21 CL 74B 23,1.0,0.0,1,2018,1,,11,0,11,2
